"npc_creep_corpse"
{
    "BaseClass"     "npc_dota_creature"
    "ConsideredHero"    "0"
    "ModelScale"    "1"
    "Model" "models/creeps/neutral_creeps/n_creep_troll_skeleton/n_creep_troll_skeleton_fx.vmdl"
    "Level" "1"
    "Ability1"  "dummy_passive"
    "RingRadius"    "35"
    "ArmorPhysical" "0"
    "MagicalResistance" "0"
    "AttackCapabilities"    "DOTA_UNIT_CAP_NO_ATTACK"
    "MovementCapabilities"  "DOTA_UNIT_CAP_MOVE_NONE"
    "MovementSpeed" "0"
    "MovementTurnRate"  "0"
    "StatusHealth"  "250"
    "StatusHealthRegen" "0"
    "VisionDaytimeRange"    "0"
    "VisionNighttimeRange"  "0"
}
